codigo,titulo,genero,duracion,clasificacion,idioma,fecha_estreno,fecha_fin
P042,La Ultima Frontera,Ciencia Ficcion,135,B15,Subtitulada,2026-01-10,2026-02-10
P017,Sombras del Pasado,Misterio,120,B15,Español,2026-01-15,2026-02-20
P068,Guardianes del Oceano,Aventura,142,B15,Subtitulada,2026-02-01,2026-03-01
P009,El Reino Perdido,Aventura,110,AA,Español,2026-02-05,2026-03-05
P031,Viaje a Marte,Ciencia Ficcion,150,B15,Subtitulada,2026-02-10,2026-03-15
P055,La Casa del Lago,Terror,105,C15,Subtitulada,2026-02-15,2026-03-20
P083,Heroes de Acero,Accion,155,B15,Ingles,2026-03-01,2026-04-01
P004,Pequenos Gigantes,Animacion,95,AA,Español,2026-03-05,2026-04-05
P013,El Bosque Encantado,Fantasia,115,AA,Español,2026-03-10,2026-04-10
P024,El Ultimo Guerrero,Accion,130,B15,Subtitulada,2026-03-15,2026-04-15
P037,Amor en la Ciudad,Romance,118,A,Español,2026-03-20,2026-04-20
P049,La Noche Eterna,Terror,125,C15,Subtitulada,2026-03-25,2026-04-25
P061,Comedia Familiar,Comedia,100,A,Español,2026-04-01,2026-05-01
P075,El Misterio del Tren,Misterio,128,B15,Subtitulada,2026-04-05,2026-05-05
P091,Viaje al Futuro,Ciencia Ficcion,145,B15,Ingles,2026-04-10,2026-05-10
